"lga_pid","lga_visible","short_name","name"
"QLD74","QLD74 - Ipswich City","Ipswich","Ipswich City"
"QLD116","QLD116 - Paroo Shire","Paroo","Paroo Shire"
"QLD68","QLD68 - Hinchinbrook Shire","Hinchinbrook","Hinchinbrook Shire"
"QLD63","QLD63 - Gold Coast City","Gold Coast","Gold Coast City"
"QLD104","QLD104 - Mount Isa City","Mount Isa","Mount Isa City"
"QLD103","QLD103 - Mornington Shire","Mornington","Mornington Shire"
"QLD109","QLD109 - Murweh Shire","Murweh","Murweh Shire"
"QLD59","QLD59 - Flinders Shire","Flinders","Flinders Shire"
"QLD57","QLD57 - Etheridge Shire","Etheridge","Etheridge Shire"
"QLD44","QLD44 - Croydon Shire","Croydon","Croydon Shire"
"QLD48","QLD48 - Diamantina Shire","Diamantina","Diamantina Shire"
"QLD41","QLD41 - Cook Shire","Cook","Cook Shire"
"QLD40","QLD40 - Cloncurry Shire","Cloncurry","Cloncurry Shire"
"QLD35","QLD35 - Carpentaria Shire","Carpentaria","Carpentaria Shire"
"QLD311","QLD311 - Cherbourg Aboriginal Shire","Cherbourg","Cherbourg Aboriginal Shire"
"QLD310","QLD310 - Hope Vale Aboriginal Shire","Hope Vale","Hope Vale Aboriginal Shire"
"QLD315","QLD315 - Yarrabah Aboriginal Shire","Yarrabah","Yarrabah Aboriginal Shire"
"QLD313","QLD313 - Maranoa Regional","Maranoa","Maranoa Regional"
"QLD312","QLD312 - Western Downs Regional","Western Downs","Western Downs Regional"
"QLD319","QLD319 - Noosa Shire","Noosa","Noosa Shire"
"QLD318","QLD318 - Mareeba Shire","Mareeba","Mareeba Shire"
"QLD317","QLD317 - Livingstone Shire","Livingstone","Livingstone Shire"
"QLD316","QLD316 - Douglas Shire","Douglas","Douglas Shire"
"QLD23","QLD23 - Bulloo Shire","Bulloo","Bulloo Shire"
"QLD21","QLD21 - Brisbane City","Brisbane","Brisbane City"
"QLD27","QLD27 - Burke Shire","Burke","Burke Shire"
"QLD26","QLD26 - Burdekin Shire","Burdekin","Burdekin Shire"
"QLD300","QLD300 - Woorabinda Aboriginal Shire","Woorabinda","Woorabinda Aboriginal Shire"
"QLD304","QLD304 - Mapoon Aboriginal Shire","Mapoon","Mapoon Aboriginal Shire"
"QLD303","QLD303 - Napranum Aboriginal Shire","Napranum","Napranum Aboriginal Shire"
"QLD302","QLD302 - Lockhart River Aboriginal Shire","Lockhart River","Lockhart River Aboriginal Shire"
