lga,"lga_visible","short_name",name
TAS64,"TAS64 - Break O'day Council","Break O'day","Break O'day Council"
TAS65,"TAS65 - Brighton Council",Brighton,"Brighton Council"
TAS66,"TAS66 - Central Coast Council","Central Coast","Central Coast Council"
TAS67,"TAS67 - Central Highlands Council","Central Highlands","Central Highlands Council"
TAS68,"TAS68 - Circular Head Council","Circular Head","Circular Head Council"
TAS69,"TAS69 - Clarence City Council","Clarence City","Clarence City Council"
TAS74,"TAS74 - Glamorgan-spring Bay Council","Glamorgan-spring Bay","Glamorgan-spring Bay Council"
TAS75,"TAS75 - Huon Valley Council","Huon Valley","Huon Valley Council"
TAS76,"TAS76 - Kentish Council",Kentish,"Kentish Council"
TAS77,"TAS77 - King Island Council","King Island","King Island Council"
TAS70,"TAS70 - Derwent Valley Council","Derwent Valley","Derwent Valley Council"
TAS71,"TAS71 - Dorset Council",Dorset,"Dorset Council"
TAS72,"TAS72 - Flinders Council",Flinders,"Flinders Council"
TAS73,"TAS73 - George Town Council","George Town","George Town Council"
TAS78,"TAS78 - Kingborough Council",Kingborough,"Kingborough Council"
TAS79,"TAS79 - Latrobe Council",Latrobe,"Latrobe Council"
TAS85,"TAS85 - Waratah-wynyard Council","Waratah-wynyard","Waratah-wynyard Council"
TAS86,"TAS86 - West Tamar Council","West Tamar","West Tamar Council"
TAS87,"TAS87 - West Coast Council","West Coast","West Coast Council"
TAS88,"TAS88 - Burnie City Council","Burnie City","Burnie City Council"
TAS81,"TAS81 - Northern Midlands Council","Northern Midlands","Northern Midlands Council"
TAS82,"TAS82 - Sorell Council",Sorell,"Sorell Council"
TAS83,"TAS83 - Southern Midlands Council","Southern Midlands","Southern Midlands Council"
TAS84,"TAS84 - Tasman Council",Tasman,"Tasman Council"
TAS80,"TAS80 - Meander Valley Council","Meander Valley","Meander Valley Council"
TAS89,"TAS89 - Devonport City Council","Devonport City","Devonport City Council"
TAS92,"TAS92 - Glenorchy City Council","Glenorchy City","Glenorchy City Council"
TAS90,"TAS90 - Hobart City Council","Hobart City","Hobart City Council"
TAS91,"TAS91 - Launceston City Council","Launceston City","Launceston City Council"
